Cuisine,id
American,8afc7adc-de3b-439d-91f2-ce568c1a653b
Italian,48e9d049-40cf-4cb9-98d9-8c47d0d58986
Steakhouse,029cd931-4a83-4572-b87a-2b0ce7abcb1e
Seafood,0735c10c-6ab6-46f6-87aa-8fe54397744d
French,39c85294-d536-48d4-93ce-675a2db3a064
Indian,54aad245-1061-478d-9d4c-1c3b3560e8f6
Mexican,2a47aeca-4c19-449d-a956-d02aa35740e3
Japanese,7bf54b86-bd1f-4e35-bbca-f7cce982b4ed
Spanish,1e4602a7-fe7d-431a-a304-5a3af9a89223
Pizzeria,de65517b-b89c-4af9-b138-8a53b49b1de7
Fusion_Eclectic,8e344800-43c7-4dac-8b56-6c49c460d491
Barbecue,aa4bbc56-2351-4fcc-bae3-fedc40477f67
Tapas_Small_Plates,5050d255-c8c4-40bd-bf56-5c35108fe9c1
Grill,70d8e4fe-87cf-433d-ab52-0e60170a46ad
Comfort_Food,c0399c40-bef1-40c2-a7b0-933eb6cde21b
Turkish,239923e5-dd8a-4604-a08a-0b048eaff270
Irish,3988f6b6-2c8d-4e84-b534-75009796fbc6
Afternoon_Tea,c6c2a49e-0d43-4ea0-b4ff-40a612e5aabc
Portuguese,57f591b5-b1d4-4ef7-8517-a7e410667cf9
Burgers,198890b4-395f-4b92-aecd-71d3372419d0
Canadian,f9d537b4-fe3f-4f8b-8c7c-e0e0d21829e3
Lebanese,3e5cdb19-550f-47fb-8afd-e68c24460f31
Korean,3d53db60-0723-446e-9215-2ff7bd4d2180
Organic,587cbacb-6da3-45ff-8863-478987583e3e
Persian,8ba6bfa8-5ca8-42e2-977f-a9a0d5d5f19c
Vegetarian_Vegan,f4dca5c2-7168-45bc-a6f4-6d4582ceb668
Breakfast,02e8ec3b-62b0-4d3a-92fb-e282e17de355
Israeli,9695f5b9-5486-48ed-af2c-29c63d19cac4
Asian,73289f47-fe6d-4b16-94ea-f24dc1fdfc26
Bar_Lounge_Bottle_Service,9b925f03-fbea-46c6-b75e-01f7ccf8e50c
Beer_Garden,6d589ca9-aaa1-4199-aeac-f8e84aa21978
Bistro,9741f46e-26c5-4b8a-89eb-0db7ed3aa938
Brewery,919364c0-654b-4729-8a77-2d51ae553d55
Café,f09f8e08-e736-4c40-905a-ff2296e786b9
Caribbean,749bc4e5-43a2-41cb-9e1b-bf882c15ab00
Cocktail_Bar,2c603ac1-b872-47e2-855d-5b6feb0d2098
Contemporary_Asian,713a39f3-1e1d-452a-8fe3-c45b8c43b386
Contemporary_Latin,8eecceb5-0c3a-4b5e-8861-3b5e35f1c38e
Continental,d3b021a0-9d32-4882-876e-e5546074524b
Dining_Bar,38bb060a-2dac-4837-b93f-3124b7b679be
Eastern_European,754105fb-23f0-4640-9bf9-eda45323b05b
European,955432df-6ebd-4e08-b569-0be06b2bac2f
Farm-to-table,a762ad7e-52d9-40fc-887a-b9d11f22d6f8
Gastro_Pub,e0c16bdd-c1ff-403c-969d-5c446e50f84e
"Global,_International",e3bbeb10-af3b-407f-85da-7f573623038d
International,545ce4a3-16b1-4622-9204-2c29df2e7eed
Latin_American,0f638df5-84ce-4fea-a025-5973fef392d6
Lounge,d38b3e6c-7088-428f-9044-632147860e92
Mediterranean,71c5b1fc-dc2a-4dff-bf31-f4e7b8e956a0
Middle_Eastern,3d1437f4-3fe9-434d-b281-90be82bb5db9
Modern_European,e84ed73d-89a7-462a-a7a9-ff81b9346551
Ottoman,82c2d311-4c7a-414a-ab31-97ccf692799b
Pizza_Bar,ffd47cad-aaba-41a2-968e-387d93a79418
Pub,2e9a9da9-5be5-4ed9-959c-769a5401c00c
Regional_German,56efcdf3-2319-40d1-9e86-32e1bc0a1aa9
Speakeasy,c6e2d417-a04a-4f23-b7a0-e1594af68347
Sports_Bar,b9dc619e-c357-4fa6-9346-b12a2ada2fc0
West_African,b31d33cf-b24a-457b-8fb2-e87b036aec41
Wine_Bar,aba0f9b4-13c4-40db-81fc-0ac9cc3fc2bb
